"X","x"
1,0.203296703296703
2,0.868131868131868
3,0.335164835164835
4,0.417582417582418
5,0.43956043956044
6,0.527472527472527
7,0.39010989010989
8,0.686813186813187
9,0.510989010989011
10,0.868131868131868
11,0.631868131868132
12,0.104395604395604
13,0.225274725274725
14,0.813186813186813
15,0.989010989010989
16,0.648351648351648
17,0.708791208791209
18,0.752747252747253
19,0.82967032967033
20,0.692307692307692
21,0.923076923076923
22,0.813186813186813
23,0.989010989010989
24,0.895604395604396
25,0.368131868131868
26,0.527472527472527
27,0.153846153846154
28,0.021978021978022
29,0.0549450549450549
30,0.0769230769230769
31,0.120879120879121
32,0.164835164835165
33,0.0659340659340659
34,0.285714285714286
35,0.153846153846154
36,0.510989010989011
37,0.263736263736264
38,0.010989010989011
39,0.032967032967033
40,0.675824175824176
41,0.357142857142857
42,0.956043956043956
43,0.554945054945055
44,0.576923076923077
45,0.697802197802198
46,0.538461538461538
47,0.824175824175824
48,0.675824175824176
49,0.956043956043956
50,0.796703296703297
51,0.230769230769231
52,0.395604395604396
53,0.593406593406593
54,0.296703296703297
55,0.934065934065934
56,0.450549450549451
57,0.549450549450549
58,0.604395604395604
59,0.461538461538462
60,0.763736263736264
61,0.593406593406593
62,0.934065934065934
63,0.758241758241758
64,0.17032967032967
65,0.302197802197802
66,0.571428571428571
67,0.252747252747253
68,0.89010989010989
69,0.428571428571429
70,0.456043956043956
71,0.582417582417582
72,0.445054945054945
73,0.736263736263736
74,0.571428571428571
75,0.89010989010989
76,0.714285714285714
77,0.131868131868132
78,0.274725274725275
79,0.489010989010989
80,0.175824175824176
81,0.846153846153846
82,0.307692307692308
83,0.401098901098901
84,0.423076923076923
85,0.351648351648352
86,0.642857142857143
87,0.489010989010989
88,0.846153846153846
89,0.598901098901099
90,0.0879120879120879
91,0.203296703296703
92,0.620879120879121
93,0.313186813186813
94,0.945054945054945
95,0.467032967032967
96,0.543956043956044
97,0.56043956043956
98,0.653846153846154
99,0.791208791208791
100,0.620879120879121
101,0.945054945054945
102,0.769230769230769
103,0.186813186813187
104,0.346153846153846
105,0.324175824175824
106,0.0824175824175824
107,0.725274725274725
108,0.181318681318681
109,0.241758241758242
110,0.269230769230769
111,0.362637362637363
112,0.214285714285714
113,0.324175824175824
114,0.725274725274725
115,0.472527472527473
116,0.0384615384615385
117,0.0934065934065934
118,0.510989010989011
119,0.203296703296703
120,0.868131868131868
121,0.335164835164835
122,0.417582417582418
123,0.43956043956044
124,0.527472527472527
125,0.39010989010989
126,0.686813186813187
127,0.868131868131868
128,0.631868131868132
129,0.104395604395604
130,0.225274725274725
131,0.153846153846154
132,0.021978021978022
133,0.510989010989011
134,0.0549450549450549
135,0.0769230769230769
136,0.120879120879121
137,0.164835164835165
138,0.0659340659340659
139,0.285714285714286
140,0.153846153846154
141,0.263736263736264
142,0.010989010989011
143,0.032967032967033
144,0.379120879120879
145,0.10989010989011
146,0.747252747252747
147,0.208791208791209
148,0.247252747252747
149,0.291208791208791
150,0.406593406593407
151,0.236263736263736
152,0.532967032967033
153,0.379120879120879
154,0.747252747252747
155,0.043956043956044
156,0.126373626373626
157,0.906593406593407
158,0.637362637362637
159,1
160,0.774725274725275
161,0.835164835164835
162,0.873626373626374
163,0.917582417582418
164,0.818681318681319
165,0.967032967032967
166,0.906593406593407
167,1
168,0.961538461538462
169,0.664835164835165
170,0.785714285714286
171,0.489010989010989
172,0.978021978021978
173,0.60989010989011
174,0.703296703296703
175,0.730769230769231
176,0.813186813186813
177,0.659340659340659
178,0.912087912087912
179,0.785714285714286
180,0.978021978021978
181,0.879120879120879
182,0.340659340659341
